Column2,Column1,room_info_list,prices_list,stars_list,number_of_reviews_list,url
38,38,8 guests · 1 bedroom · 3 beds · 1 bath,$84 ,4.86 ·,226 reviews,https://www.airbnb.com/rooms/9255757?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-13&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
39,39,4 guests · 2 bedrooms · 2 beds · 2 baths,$99 ,,,https://www.airbnb.com/rooms/867351298250596010?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-13&check_out=2023-04-18&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
40,40,8 guests · 3 bedrooms · 3 beds · 2 baths,$120 ,4.83 ·,92 reviews,https://www.airbnb.com/rooms/1777474?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
41,41,4 guests · 1 bed · Half-bath,$86 ,4.80 ·,392 reviews,https://www.airbnb.com/rooms/14690762?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
42,42,4 guests · 1 bedroom · 2 beds · 1 bath,$107 ,4.96 ·,146 reviews,https://www.airbnb.com/rooms/48301981?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
43,43,4 guests · 1 bedroom · 4 beds · 1 bath,$182 ,,,https://www.airbnb.com/rooms/803434395540222034?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
44,44,4 guests · 1 bedroom · 2 beds · 1 bath,$203 ,5.0 ·,9 reviews,https://www.airbnb.com/rooms/787637662801998694?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-10&check_out=2023-05-16&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
45,45,2 guests · 1 bedroom · 1 bed · 1 bath,$145 ,4.98 ·,883 reviews,https://www.airbnb.com/rooms/16067918?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-11-12&check_out=2023-11-17&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
46,46,8 guests · 3 bedrooms · 3 beds · 1 bath,$195 ,4.92 ·,12 reviews,https://www.airbnb.com/rooms/792009605838380017?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
47,47,2 guests · 1 bed · 1 bath,$96 ,5.0 ·,21 reviews,https://www.airbnb.com/rooms/33784389?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-17&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
48,48,4 guests · Studio · 2 beds · 1 bath,$185 ,4.90 ·,31 reviews,https://www.airbnb.com/rooms/566729567209427445?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-10-08&check_out=2023-10-13&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
49,49,2 guests · 1 bed · 1 bath,$77 ,4.96 ·,179 reviews,https://www.airbnb.com/rooms/46174805?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
50,50,2 guests · 1 bedroom · 1 bed · Half-bath,$71 ,4.88 ·,42 reviews,https://www.airbnb.com/rooms/53601348?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
